trial_overall,noise_level,block,presented_pn_ratio,qp_update_intensity,presented_tone_power,correct_interval,response_interval,response_key,is_correct,rt,timestamp
1,0.64,practice,0.3,0.3,0.192,1,1,1,True,0.3172141669783741,1743686734.548756
2,1.44,practice,0.3,0.3,0.432,2,2,2,True,0.1866690830211155,1743686738.721504
3,0.64,practice,0.14176460767946575,0.14176460767946575,0.09072934891485808,1,1,1,True,0.22498304198961705,1743686744.4094741
4,1.44,practice,0.14176460767946575,0.14176460767946575,0.20414103505843068,2,2,2,True,0.26728812500368804,1743686750.094473
5,1.44,practice,0.11730550918196994,0.11730550918196994,0.16891993322203672,2,2,2,True,0.21710087498649955,1743686755.770468
6,0.64,practice,0.11730550918196994,0.11730550918196994,0.07507552587646077,2,2,2,True,0.13990083400858566,1743686761.2887628
7,0.64,main,0.0928464106844741,0.0928464106844741,0.05942170283806343,2,2,2,True,0.2895465830224566,1743686767.7863948
8,0.64,main,0.07387813021702837,0.07387813021702837,0.047282003338898156,2,2,2,True,0.26365741703193635,1743686772.575614
9,0.64,main,0.05840400667779632,0.05840400667779632,0.03737856427378965,1,1,1,True,0.2379568750038743,1743686777.5936372
10,1.44,main,0.0928464106844741,0.0928464106844741,0.1336988313856427,1,1,1,True,0.14854966598795727,1743686782.380002
11,0.64,main,0.04642404006677796,0.04642404006677796,0.029711385642737894,1,1,1,True,0.2526770830154419,1743686787.289598
12,0.64,main,0.03693989983305509,0.03693989983305509,0.023641535893155256,1,1,1,True,0.2551304170046933,1743686792.062331
13,1.44,main,0.07387813021702837,0.07387813021702837,0.10638450751252085,2,2,2,True,0.6099340420332737,1743686797.235578
14,1.44,main,0.05840400667779632,0.05840400667779632,0.0841017696160267,1,1,1,True,0.1751633749809116,1743686802.043977
15,1.44,main,0.04642404006677796,0.04642404006677796,0.06685061769616026,1,1,1,True,0.22286104201339185,1743686806.768942
16,1.44,main,0.03693989983305509,0.03693989983305509,0.05319345575959933,2,2,2,True,0.35153441701550037,1743686811.779279
17,0.64,main,0.029452420701168613,0.029452420701168613,0.01884954924874791,1,1,1,True,0.21964708296582103,1743686816.801573
18,0.64,main,0.02346243739565943,0.02346243739565943,0.015015959933222037,2,2,2,True,0.26740970800165087,1743686821.65201
19,1.44,main,0.029452420701168613,0.029452420701168613,0.0424114858096828,1,1,1,True,0.1591174590284936,1743686826.360811
20,0.64,main,0.018470784641068445,0.018470784641068445,0.011821302170283805,2,2,2,True,0.31021304201567546,1743686831.43275
21,0.64,main,0.014976627712854757,0.014976627712854757,0.009585041736227045,1,1,1,True,0.3892844159854576,1743686836.4674659
22,1.44,main,0.02346243739565943,0.02346243739565943,0.03378590984974958,1,2,2,False,0.5553665419574827,1743686841.789665
23,1.44,main,0.043928213689482465,0.043928213689482465,0.06325662771285474,1,1,1,True,0.22875466698314995,1743686846.805399
24,1.44,main,0.03893656093489148,0.03893656093489148,0.056068647746243726,2,2,2,True,0.4433459169813432,1743686851.8232021
25,1.44,main,0.035442404006677794,0.035442404006677794,0.05103706176961602,1,1,1,True,0.17921541701070964,1743686856.49607
26,1.44,main,0.0329465776293823,0.0329465776293823,0.04744307178631051,1,1,1,True,0.1456715829554014,1743686861.311109
27,0.64,main,0.011981636060100165,0.011981636060100165,0.0076682470784641054,1,2,2,False,0.2725730829988606,1743686866.132242
28,1.44,main,0.030949916527545907,0.030949916527545907,0.0445678797996661,2,2,2,True,0.2249513329588808,1743686870.9569669
29,0.64,main,0.021964941569282137,0.021964941569282137,0.014057562604340568,1,1,1,True,0.39465420896885917,1743686876.1305711
30,0.64,main,0.01996828046744574,0.01996828046744574,0.012779699499165274,1,1,1,True,0.2117621249635704,1743686881.061033
31,1.44,main,0.029951585976627712,0.029951585976627712,0.04313028380634391,1,1,1,True,1.811477624985855,1743686887.60364
32,1.44,main,0.028454090150250414,0.028454090150250414,0.0409738898163606,2,1,1,False,0.4672884169849567,1743686892.694352
33,0.64,main,0.01797161936560935,0.01797161936560935,0.011501836393989984,1,1,1,True,0.243456750002224,1743686897.564585
34,1.44,main,0.0349432387312187,0.0349432387312187,0.050318263772954924,2,2,2,True,0.29360200004884973,1743686902.290117
35,1.44,main,0.0339449081803005,0.0339449081803005,0.048880667779632715,1,1,1,True,0.1807699580094777,1743686907.2545762
36,0.64,main,0.01697328881469115,0.01697328881469115,0.010862904841402336,2,2,2,True,0.23807904199929908,1743686911.9650428
37,1.44,main,0.0329465776293823,0.0329465776293823,0.04744307178631051,2,2,2,True,0.17860149999614805,1743686916.923023
38,0.64,main,0.015974958263772952,0.015974958263772952,0.01022397328881469,1,1,1,True,0.387682041968219,1743686921.952366
39,1.44,main,0.0319482470784641,0.0319482470784641,0.046005475792988304,1,1,1,True,0.2975679169758223,1743686928.988555
40,0.64,main,0.014976627712854757,0.014976627712854757,0.009585041736227045,1,1,1,True,0.2744155830005184,1743686933.877059
41,0.64,main,0.014477462437395658,0.014477462437395658,0.009265575959933221,1,1,1,True,0.43288579100044444,1743686938.9869719
42,0.64,main,0.013978297161936559,0.013978297161936559,0.008946110183639397,1,2,2,False,0.7461710409843363,1743686944.3683782
43,0.64,main,0.01697328881469115,0.01697328881469115,0.010862904841402336,2,1,1,False,0.2539049999904819,1743686949.23783
44,1.44,main,0.031449081803005006,0.031449081803005006,0.04528667779632721,2,2,2,True,0.16777483298210427,1743686954.031969
45,0.64,main,0.021465776293823038,0.021465776293823038,0.013738096828046744,2,1,1,False,0.38072366698179394,1743686958.933525
46,0.64,main,0.031449081803005006,0.031449081803005006,0.020127412353923204,1,1,1,True,0.20178395800758153,1743686963.827071
47,1.44,main,0.030450751252086808,0.030450751252086808,0.043849081803005,1,1,1,True,0.2750115829985589,1743686968.849233
48,1.44,main,0.029452420701168613,0.029452420701168613,0.0424114858096828,1,1,1,True,0.23186724999686703,1743686973.705628
49,1.44,main,0.02695659432387312,0.02695659432387312,0.03881749582637729,2,2,2,True,0.3136667920043692,1743686978.518684
50,1.44,main,0.025459098497495825,0.025459098497495825,0.03666110183639399,1,1,1,True,0.2732301659998484,1743686983.345215
51,0.64,main,0.028953255425709513,0.028953255425709513,0.01853008347245409,2,2,2,True,0.18399720801971853,1743686988.266874
52,1.44,main,0.024460767946577627,0.024460767946577627,0.03522350584307178,2,1,1,False,0.34231916698627174,1743686993.2470772
53,1.44,main,0.029951585976627712,0.029951585976627712,0.04313028380634391,2,2,2,True,0.233493166975677,1743686998.045158
54,0.64,main,0.02695659432387312,0.02695659432387312,0.017252220367278796,1,1,1,True,0.23566187504911795,1743687002.768594
55,0.64,main,0.025459098497495825,0.025459098497495825,0.01629382303839733,2,2,2,True,0.4993301249924116,1743687007.886846
56,0.64,main,0.023961602671118527,0.023961602671118527,0.015335425709515857,1,1,1,True,0.4120918749831617,1743687012.885655
57,0.64,main,0.021964941569282137,0.021964941569282137,0.014057562604340568,2,1,1,False,0.42270808399189264,1743687017.804132
58,0.64,main,0.028454090150250414,0.028454090150250414,0.018210617696160267,2,2,2,True,0.2827552080270834,1743687022.7514849
59,1.44,main,0.029951585976627712,0.029951585976627712,0.04313028380634391,2,2,2,True,0.2535656670224853,1743687027.705239
60,0.64,main,0.02745575959933222,0.02745575959933222,0.017571686143572622,2,2,2,True,0.2349811250460334,1743687032.5384881
61,1.44,main,0.029452420701168613,0.029452420701168613,0.0424114858096828,1,1,1,True,0.3646911670221016,1743687037.5707011
62,1.44,main,0.028953255425709513,0.028953255425709513,0.0416926878130217,2,1,1,False,0.17277804197510704,1743687042.4134028
63,0.64,main,0.02645742904841402,0.02645742904841402,0.016932754590984974,1,1,1,True,0.46306541602825746,1743687047.527362
64,1.44,main,0.031449081803005006,0.031449081803005006,0.04528667779632721,1,1,1,True,0.5543413339764811,1743687052.6778371
65,0.64,main,0.025459098497495825,0.025459098497495825,0.01629382303839733,2,1,1,False,0.5689358749659732,1743687057.9138749
66,1.44,main,0.031449081803005006,0.031449081803005006,0.04528667779632721,2,2,2,True,0.3708929169806652,1743687062.938076
67,1.44,main,0.030949916527545907,0.030949916527545907,0.0445678797996661,2,2,2,True,0.5982349999831058,1743687068.250321
68,0.64,main,0.030949916527545907,0.030949916527545907,0.01980794657762938,2,1,1,False,0.2927538750227541,1743687073.184811
69,1.44,main,0.030949916527545907,0.030949916527545907,0.0445678797996661,1,1,1,True,0.2539474170189351,1743687077.951906
70,0.64,main,0.040933222036727876,0.040933222036727876,0.02619726210350584,1,1,1,True,0.16225133300758898,1743687082.7034519
