trial_overall,noise_level,block,presented_pn_ratio,qp_update_intensity,presented_tone_power,correct_interval,response_interval,response_key,is_correct,rt,timestamp
1,1.44,practice,0.3,0.3,0.432,1,1,1,True,1.3959368339856155,1743656128.197737
2,1.44,practice,0.14176460767946575,0.14176460767946575,0.20414103505843068,1,1,1,True,0.620243874960579,1743656134.449206
3,0.64,practice,0.3,0.3,0.192,1,1,1,True,0.2027177499840036,1743656138.831842
4,0.64,practice,0.14176460767946575,0.14176460767946575,0.09072934891485808,2,2,2,True,0.18611375003820285,1743656144.396138
5,0.64,practice,0.11730550918196994,0.11730550918196994,0.07507552587646077,2,2,2,True,0.1508035840233788,1743656149.988939
6,1.44,practice,0.11730550918196994,0.11730550918196994,0.16891993322203672,2,2,2,True,0.1574386670254171,1743656155.587894
7,1.44,main,0.0928464106844741,0.0928464106844741,0.1336988313856427,1,1,1,True,0.045668667007703334,1743656163.6212852
8,0.64,main,0.0928464106844741,0.0928464106844741,0.05942170283806343,1,1,1,True,0.04610849998425692,1743656168.251782
9,1.44,main,0.07387813021702837,0.07387813021702837,0.10638450751252085,2,2,2,True,0.0709915419574827,1743656173.071688
10,1.44,main,0.05840400667779632,0.05840400667779632,0.0841017696160267,2,2,2,True,0.0742473749560304,1743656177.829348
11,0.64,main,0.07387813021702837,0.07387813021702837,0.047282003338898156,2,2,2,True,1.9559168749838136,1743656184.514529
12,1.44,main,0.04642404006677796,0.04642404006677796,0.06685061769616026,2,2,2,True,0.187114666972775,1743656189.511209
13,0.64,main,0.05840400667779632,0.05840400667779632,0.03737856427378965,1,1,1,True,0.3676118330331519,1743656194.637381
14,0.64,main,0.04642404006677796,0.04642404006677796,0.029711385642737894,2,2,2,True,0.22137866698903963,1743656199.431468
15,0.64,main,0.03693989983305509,0.03693989983305509,0.023641535893155256,1,1,1,True,0.1724577919812873,1743656204.291689
16,0.64,main,0.029452420701168613,0.029452420701168613,0.01884954924874791,1,2,2,False,0.44288291601696983,1743656209.553365
17,1.44,main,0.03693989983305509,0.03693989983305509,0.05319345575959933,2,2,2,True,0.049909125023987144,1743656214.304351
18,1.44,main,0.029452420701168613,0.029452420701168613,0.0424114858096828,1,1,1,True,0.2659579580067657,1743656219.192121
19,1.44,main,0.02346243739565943,0.02346243739565943,0.03378590984974958,2,2,2,True,0.14744362502824515,1743656223.9722612
20,0.64,main,0.05540901502504173,0.05540901502504173,0.035461769616026706,2,2,2,True,0.0468465419835411,1743656228.796988
21,1.44,main,0.018470784641068445,0.018470784641068445,0.02659792988313856,2,2,2,True,0.18910295801470056,1743656233.6502101
22,1.44,main,0.014976627712854757,0.014976627712854757,0.02156634390651085,1,2,2,False,0.5264071670244448,1743656238.774179
23,0.64,main,0.04941903171953255,0.04941903171953255,0.03162818030050083,2,2,2,True,0.1687570409849286,1743656243.571376
24,0.64,main,0.04442737896494157,0.04442737896494157,0.028433522537562605,1,1,1,True,0.23554783302824944,1743656248.497607
25,0.64,main,0.04143238731218697,0.04143238731218697,0.026516727879799664,1,1,1,True,0.36483916599536315,1743656253.6188228
26,0.64,main,0.03943572621035058,0.03943572621035058,0.02523886477462437,2,2,2,True,0.1393003329867497,1743656258.520532
27,1.44,main,0.027954924874791315,0.027954924874791315,0.04025509181969949,1,1,1,True,0.6365771249984391,1743656263.744815
28,0.64,main,0.037439065108514184,0.037439065108514184,0.02396100166944908,2,2,2,True,0.09340262500336394,1743656268.44535
29,0.64,main,0.035442404006677794,0.035442404006677794,0.02268313856427379,2,2,2,True,0.050181583035737276,1743656273.341804
30,1.44,main,0.024959933222036726,0.024959933222036726,0.03594230383973288,2,2,2,True,0.35054183297324926,1743656278.429727
31,1.44,main,0.022464106844741233,0.022464106844741233,0.03234831385642738,2,2,2,True,0.9243643750087358,1743656284.0523179
32,1.44,main,0.02096661101836394,0.02096661101836394,0.03019191986644407,1,1,1,True,0.29097737499978393,1743656288.882166
33,0.64,main,0.0339449081803005,0.0339449081803005,0.02172474123539232,2,2,2,True,0.11676216596970335,1743656293.519358
34,1.44,main,0.01996828046744574,0.01996828046744574,0.028754323873121865,2,2,2,True,0.12125312496209517,1743656298.269343
35,0.64,main,0.0319482470784641,0.0319482470784641,0.020446878130217026,1,1,1,True,0.1809474999899976,1743656303.294297
36,0.64,main,0.024959933222036726,0.024959933222036726,0.015974357262103504,2,2,2,True,0.0703569590114057,1743656307.9918258
37,1.44,main,0.018969949916527545,0.018969949916527545,0.027316727879799663,2,2,2,True,0.19630854099523276,1743656312.888713
38,0.64,main,0.023961602671118527,0.023961602671118527,0.015335425709515857,2,2,2,True,0.6797237920109183,1743656318.328085
39,0.64,main,0.022464106844741233,0.022464106844741233,0.014377028380634389,1,1,1,True,0.26428329199552536,1743656328.4988139
40,1.44,main,0.01797161936560935,0.01797161936560935,0.025879131886477464,2,2,2,True,0.05950270895846188,1743656333.292759
41,1.44,main,0.01747245409015025,0.01747245409015025,0.02516033388981636,1,2,2,False,0.057409292028751224,1743656337.9640782
42,0.64,main,0.02046744574290484,0.02046744574290484,0.013099165275459098,1,1,1,True,0.19849033403443173,1743656342.8348439
43,0.64,main,0.01697328881469115,0.01697328881469115,0.010862904841402336,2,2,2,True,0.31496283400338143,1743656347.7612002
44,1.44,main,0.02096661101836394,0.02096661101836394,0.03019191986644407,2,1,1,False,0.9335787500021979,1743656353.4490721
