trial_overall,A_value_Hz,block,presented_pn_ratio,qp_update_intensity,presented_tone_power,correct_interval,response_interval,response_key,is_correct,rt,timestamp
1,900,practice,1.2,1.1999165971643035,1.2,1,1,1,True,0.2568145419936627,1743654470.2294679
2,100,practice,1.2,1.1999165971643035,1.2,1,1,1,True,1.1420108750462532,1743654475.47932
3,300,practice,1.2,1.1999165971643035,1.2,2,2,2,True,0.273656708013732,1743654479.804568
4,900,practice,0.6944778982485406,0.6944778982485406,0.6944778982485406,1,1,1,True,0.5347864159848541,1743654493.690946
5,100,practice,0.6944778982485406,0.6944778982485406,0.6944778982485406,1,1,1,True,0.6346809159731492,1743654508.09842
6,300,practice,0.6944778982485406,0.6944778982485406,0.6944778982485406,2,2,2,True,0.5723998749745078,1743654521.861334
7,900,practice,0.5744528773978316,0.5744528773978316,0.5744528773978316,1,1,1,True,0.34858108300250024,1743654534.455015
8,100,practice,0.5744528773978316,0.5744528773978316,0.5744528773978316,2,2,2,True,0.4165241669979878,1743654547.6129348
9,300,practice,0.5744528773978316,0.5744528773978316,0.5744528773978316,2,2,2,True,17.378027292026673,1743654578.568429
10,100,main,0.453094245204337,0.453094245204337,0.453094245204337,2,2,2,True,0.3825803340296261,1743654593.5809221
11,100,main,0.3584078398665555,0.3584078398665555,0.3584078398665555,1,2,2,False,0.4139672919991426,1743654604.071967
12,900,main,0.453094245204337,0.453094245204337,0.453094245204337,1,1,1,True,3.1064618339878507,1743654619.969345
13,100,main,0.67314011676397,0.67314011676397,0.67314011676397,2,2,2,True,0.6976806669845246,1743654633.0907001
14,100,main,0.6077931609674729,0.6077931609674729,0.6077931609674729,2,2,2,True,0.8956149590085261,1743654645.3573928
15,100,main,0.5464470391993328,0.5464470391993328,0.5464470391993328,1,1,1,True,0.9761813749792054,1743654657.687726
16,300,main,0.453094245204337,0.453094245204337,0.453094245204337,1,1,1,True,0.7776279170066118,1743654669.777086
17,900,main,0.3584078398665555,0.3584078398665555,0.3584078398665555,2,2,2,True,0.32356129097752273,1743654682.9557009
18,100,main,0.5064386989157632,0.5064386989157632,0.5064386989157632,1,2,2,False,1.0031547090038657,1743654696.107658
19,300,main,0.3584078398665555,0.3584078398665555,0.3584078398665555,1,1,1,True,0.4826255000079982,1743654707.977354
20,100,main,0.7078140116763971,0.7078140116763971,0.7078140116763971,2,2,2,True,1.122604708012659,1743654720.0501618
21,300,main,0.28372560467055885,0.28372560467055885,0.28372560467055885,1,2,2,False,0.8291081669740379,1743654731.3198552
22,300,main,0.5371117597998333,0.5371117597998333,0.5371117597998333,1,1,1,True,0.4485568329691887,1743654742.023919
23,100,main,0.6718065054211844,0.6718065054211844,0.6718065054211844,2,2,2,True,0.2436566660180688,1743654753.7036328
24,900,main,0.28372560467055885,0.28372560467055885,0.28372560467055885,2,2,2,True,0.3700764999957755,1743654765.496295
25,100,main,0.6344653878231861,0.6344653878231861,0.6344653878231861,1,1,1,True,0.5326280419831164,1743654776.164507
26,100,main,0.603792326939116,0.603792326939116,0.603792326939116,2,2,2,True,0.232460708997678,1743654787.4925828
27,300,main,0.47843286071726443,0.47843286071726443,0.47843286071726443,1,2,2,False,0.5839210830163211,1743654801.268028
28,100,main,0.5797873227689742,0.5797873227689742,0.5797873227689742,1,2,2,False,1.3371428750106134,1743654813.566566
29,100,main,0.7144820683903254,0.7144820683903254,0.7144820683903254,2,2,2,True,0.8421635829727165,1743654826.4653199
30,100,main,0.6944778982485406,0.6944778982485406,0.6944778982485406,2,1,1,False,0.505518292018678,1743654837.0640728
31,900,main,0.22504670558799,0.22504670558799,0.22504670558799,2,2,2,True,0.33181670802878216,1743654849.1992362
32,300,main,0.7438215179316098,0.7438215179316098,0.7438215179316098,2,2,2,True,1.2668124589836225,1743654862.6448371
33,900,main,0.17703669724770643,0.17703669724770643,0.17703669724770643,2,2,2,True,0.5141855839756317,1743654874.666608
34,300,main,0.6958115095913262,0.6958115095913262,0.6958115095913262,2,2,2,True,0.6323243749793619,1743654886.427231
35,900,main,0.14102919099249375,0.14102919099249375,0.14102919099249375,2,2,2,True,0.4764889170182869,1743654898.188522
36,900,main,0.11168974145120936,0.11168974145120936,0.11168974145120936,1,1,1,True,0.42900545900920406,1743654909.408928
37,300,main,0.646467889908257,0.646467889908257,0.646467889908257,2,2,2,True,0.6354660000069998,1743654922.1716878
38,900,main,0.08768473728106757,0.08768473728106757,0.08768473728106757,1,1,1,True,1.1854485829826444,1743654934.906894
39,100,main,0.8411751459549626,0.8411751459549626,0.8411751459549626,2,2,2,True,0.4521913750213571,1743654947.154619
40,300,main,0.6064595496246873,0.6064595496246873,0.6064595496246873,2,2,2,True,0.8704062920296565,1743654959.572361
41,900,main,0.0690141784820684,0.0690141784820684,0.0690141784820684,1,1,1,True,0.9522855409886688,1743654971.597845
42,900,main,0.05567806505421185,0.05567806505421185,0.05567806505421185,1,1,1,True,1.0317467910354026,1743655047.676213
43,300,main,0.5771201000834029,0.5771201000834029,0.5771201000834029,1,1,1,True,1.6954070840147324,1743655061.2335172
44,900,main,0.043675562969140956,0.043675562969140956,0.043675562969140956,1,2,2,False,0.9864077909733169,1743655072.989067
45,100,main,0.8185037531276064,0.8185037531276064,0.8185037531276064,2,2,2,True,2.6528323750244454,1743655087.364765
46,300,main,0.5477806505421184,0.5477806505421184,0.5477806505421184,1,1,1,True,1.104993375018239,1743655100.2088451
47,300,main,0.5104395329441201,0.5104395329441201,0.5104395329441201,2,2,2,True,1.6949683330021799,1743655112.893924
48,300,main,0.43442368640533785,0.43442368640533785,0.43442368640533785,1,1,1,True,3.26732008298859,1743655126.9601102
49,900,main,0.08235029190992495,0.08235029190992495,0.08235029190992495,1,1,1,True,0.8224269999773242,1743655139.636404
50,900,main,0.07301501251042536,0.07301501251042536,0.07301501251042536,1,1,1,True,1.4812978749978356,1743655152.1530051
51,900,main,0.06634695579649709,0.06634695579649709,0.06634695579649709,2,1,1,False,1.117752333986573,1743655164.544148
52,900,main,0.0983536280233528,0.0983536280233528,0.0983536280233528,2,1,1,False,2.200034500041511,1743655178.784828
53,100,main,0.7971659716430359,0.7971659716430359,0.7971659716430359,2,2,2,True,1.2662042090087198,1743655191.542848
54,900,main,0.1663678065054212,0.1663678065054212,0.1663678065054212,2,2,2,True,0.8058650000020862,1743655203.4703581
55,100,main,0.7758281901584655,0.7758281901584655,0.7758281901584655,1,1,1,True,1.0497675000224262,1743655216.3896372
56,100,main,0.7518231859883237,0.7518231859883237,0.7518231859883237,1,1,1,True,0.42741275002481416,1743655228.996105
57,900,main,0.14903085904920768,0.14903085904920768,0.14903085904920768,2,2,2,True,0.35890987497987226,1743655240.7122948
58,300,main,0.41842035029191,0.41842035029191,0.41842035029191,2,2,2,True,2.0160461670020595,1743655254.286199
59,100,main,0.6771409507923271,0.6771409507923271,0.6771409507923271,1,1,1,True,0.32865283300634474,1743655266.431896
60,300,main,0.40641784820683907,0.40641784820683907,0.40641784820683907,1,1,1,True,0.4403549999697134,1743655278.620718
61,100,main,0.6451342785654713,0.6451342785654713,0.6451342785654713,1,1,1,True,0.4236652920371853,1743655290.313397
62,900,main,0.13569474562135114,0.13569474562135114,0.13569474562135114,1,1,1,True,1.4039217910030857,1743655303.398058
63,100,main,0.6304645537948291,0.6304645537948291,0.6304645537948291,1,1,1,True,1.6133622080087662,1743655316.238616
64,900,main,0.12635946622185157,0.12635946622185157,0.12635946622185157,2,1,1,False,1.802490542002488,1743655328.901945
65,300,main,0.3944153461217682,0.3944153461217682,0.3944153461217682,1,1,1,True,4.610624583030585,1743655345.536671
66,300,main,0.38374645537948293,0.38374645537948293,0.38374645537948293,1,1,1,True,0.46838108403608203,1743655356.641234
67,900,main,0.1783703085904921,0.1783703085904921,0.1783703085904921,1,1,1,True,0.33196641702670604,1743655368.886451
68,300,main,0.3704103419516264,0.3704103419516264,0.3704103419516264,2,2,2,True,0.3891795420204289,1743655379.8047428
69,300,main,0.35307339449541286,0.35307339449541286,0.35307339449541286,2,2,2,True,0.32275404199026525,1743655391.482188
70,100,main,0.6211292743953295,0.6211292743953295,0.6211292743953295,1,2,2,False,0.7050708329770714,1743655403.902357
71,100,main,0.7651592994161802,0.7651592994161802,0.7651592994161802,1,1,1,True,0.38336587499361485,1743655414.7484229
72,300,main,0.3264011676396998,0.3264011676396998,0.3264011676396998,2,2,2,True,0.3385424169828184,1743655426.76585
73,100,main,0.7518231859883237,0.7518231859883237,0.7518231859883237,2,1,1,False,0.4829106660326943,1743655438.2097468
74,100,main,0.8691809841534613,0.8691809841534613,0.8691809841534613,2,2,2,True,0.8256084169843234,1743655468.701032
75,900,main,0.16770141784820686,0.16770141784820686,0.16770141784820686,1,1,1,True,1.6304889159509912,1743655482.213184
76,900,main,0.15836613844870728,0.15836613844870728,0.15836613844870728,2,2,2,True,0.3465468340436928,1743655493.0681841
77,300,main,0.2490517097581318,0.2490517097581318,0.2490517097581318,1,2,2,False,0.39178200002061203,1743655504.954942
78,300,main,0.35974145120934115,0.35974145120934115,0.35974145120934115,1,1,1,True,0.8099242079770193,1743655516.568623
79,900,main,0.15036447039199335,0.15036447039199335,0.15036447039199335,2,2,2,True,0.550339957990218,1743655528.5677419
80,900,main,0.14369641367806507,0.14369641367806507,0.14369641367806507,2,2,2,True,0.36338795901974663,1743655539.581984
81,900,main,0.1370283569641368,0.1370283569641368,0.1370283569641368,1,1,1,True,0.3420937079936266,1743655550.651777
82,300,main,0.35040617180984157,0.35040617180984157,0.35040617180984157,2,2,2,True,0.3591587920091115,1743655562.2777731
